Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:05:18.165000,TSU,22,0 days 00:01:26.818000,23.0,2.0,,,0 days 00:00:28.392000,0 days 00:00:29.821000,0 days 00:00:28.605000,0 days 02:04:19.831000,0 days 02:04:49.652000,0 days 02:05:18.257000,291.0,311.0,311.0,316.0,False,MEDIUM,20.0,True,Racing Bulls,0 days 02:03:51.347000,,1,9.0,,,False,True
0 days 02:06:45.162000,TSU,22,0 days 00:01:26.997000,24.0,2.0,,,0 days 00:00:28.472000,0 days 00:00:29.808000,0 days 00:00:28.717000,0 days 02:05:46.729000,0 days 02:06:16.537000,0 days 02:06:45.254000,290.0,309.0,313.0,314.0,False,MEDIUM,21.0,True,Racing Bulls,0 days 02:05:18.165000,,1,9.0,,,False,True
0 days 02:08:12.214000,TSU,22,0 days 00:01:27.052000,25.0,2.0,,,0 days 00:00:28.445000,0 days 00:00:29.970000,0 days 00:00:28.637000,0 days 02:07:13.699000,0 days 02:07:43.669000,0 days 02:08:12.306000,291.0,308.0,313.0,316.0,False,MEDIUM,22.0,True,Racing Bulls,0 days 02:06:45.162000,,1,9.0,,,False,True
0 days 02:09:39.349000,TSU,22,0 days 00:01:27.135000,26.0,2.0,,,0 days 00:00:28.440000,0 days 00:00:30.038000,0 days 00:00:28.657000,0 days 02:08:40.746000,0 days 02:09:10.784000,0 days 02:09:39.441000,289.0,307.0,313.0,315.0,False,MEDIUM,23.0,True,Racing Bulls,0 days 02:08:12.214000,,1,9.0,,,False,True
0 days 02:11:06.284000,TSU,22,0 days 00:01:26.935000,27.0,2.0,,,0 days 00:00:28.443000,0 days 00:00:29.957000,0 days 00:00:28.535000,0 days 02:10:07.884000,0 days 02:10:37.841000,0 days 02:11:06.376000,288.0,308.0,312.0,314.0,False,MEDIUM,24.0,True,Racing Bulls,0 days 02:09:39.349000,,12,9.0,,,False,True
0 days 02:12:59.905000,TSU,22,0 days 00:01:53.621000,28.0,2.0,,,0 days 00:00:40.050000,0 days 00:00:35.806000,0 days 00:00:37.765000,0 days 02:11:46.426000,0 days 02:12:22.232000,0 days 02:12:59.997000,265.0,241.0,246.0,119.0,False,MEDIUM,25.0,True,Racing Bulls,0 days 02:11:06.284000,,267,9.0,,,False,False
0 days 02:14:29.559000,TSU,22,0 days 00:01:29.654000,29.0,2.0,,,0 days 00:00:30.990000,0 days 00:00:30.134000,0 days 00:00:28.530000,0 days 02:13:30.987000,0 days 02:14:01.121000,0 days 02:14:29.651000,286.0,307.0,316.0,289.0,False,MEDIUM,26.0,True,Racing Bulls,0 days 02:12:59.905000,,71,9.0,,,False,False
0 days 02:15:56.419000,TSU,22,0 days 00:01:26.860000,30.0,2.0,,,0 days 00:00:28.364000,0 days 00:00:30.004000,0 days 00:00:28.492000,0 days 02:14:58.015000,0 days 02:15:28.019000,0 days 02:15:56.511000,289.0,306.0,313.0,313.0,False,MEDIUM,27.0,True,Racing Bulls,0 days 02:14:29.559000,,1,9.0,,,False,True
0 days 02:17:23.279000,TSU,22,0 days 00:01:26.860000,31.0,2.0,,,0 days 00:00:28.480000,0 days 00:00:29.889000,0 days 00:00:28.491000,0 days 02:16:24.991000,0 days 02:16:54.880000,0 days 02:17:23.371000,289.0,306.0,311.0,311.0,False,MEDIUM,28.0,True,Racing Bulls,0 days 02:15:56.419000,,1,9.0,,,False,True
0 days 02:18:49.904000,TSU,22,0 days 00:01:26.625000,32.0,2.0,,,0 days 00:00:28.343000,0 days 00:00:29.724000,0 days 00:00:28.558000,0 days 02:17:51.714000,0 days 02:18:21.438000,0 days 02:18:49.996000,288.0,308.0,312.0,311.0,False,MEDIUM,29.0,True,Racing Bulls,0 days 02:17:23.279000,,1,9.0,,,False,True
